Lat_dec,Long_dec,Elevation,Name
21.57083,104.30666,2985,Phu Luong
31.4525,100.22333,5992,Kawarani
26.31333,114.03666,2140,Nanfengmian
14.0675,121.4925,2170,Banahaw
27.145,98.15166,3677,Hkaru Bum
36.02416,90.86583,6860,Buka Daban Feng
31.88472,78.73555,6816,Reo Purgyil
32.52583,78.4,6794,Gya
36.10833,76.2125,7295,Huang Guan Shan
28.7375,84.41694,7140,Nemjung
28.39666,100.34916,6032,Xiannairi
27.89416,103.23666,4041,Daliang Shan HP
34.10333,73.4075,2981,Miranjani
35.97083,138.36916,2899,Aka-dake
35.9475,75.75333,7285,Baintha Brakk I
42.03666,80.50416,6588,Pt. 6588
36.15416,136.77,2702,Haku-san
-1.68416,120.99833,2590,Pegunungan Pompangeo
-0.66166,132.88916,2500,Bon Irau
39.09916,140.05083,2236,Chokai-san
36.57916,54.76416,3890,Kuh-e Shahvar
35.54083,74.88166,5940,Dofana
42.82666,140.81138,1898,Yotei-zan
42.21083,80.175,7010,Khan Tangiri Shyngy
29.37833,82.63916,6883,Kanjiroba
33.48166,79.33666,6260,Bangong
36.28083,59.04916,3314,Kuh-e Siah Khvani
-2.50666,140.525,2000,Pegunungan Cycloop
29.115,97.0775,6327,Yuhe Kangri
13.46666,98.805,2072,Myinmoletkat Taung
1.45333,125.03083,1990,Gunung Klabat
31.69666,85.06333,6822,Shakangsham
29.89083,81.495,7030,Saipal
36.72666,73.89083,6416,Chiantar Sar
28.82416,98.06083,6146,Baxoila Ling
34.55611,75.83555,5608,Pt. 5608
36.25583,69.795,5120,Pt. 5120�
18.58833,98.4875,2576,Doi Inthanon
18.89833,109.70416,1840,Wuzhi Shan
9.09666,125.705,1920,Mt. Hilong-hilong
28.155,90.0625,7207,Tongshanjiabu
43.43833,86.08333,5289,Heyuan Feng
41.96,46.92333,4127,Gora Dyul'tydag
37.73083,46.5,3707,Kuh-e Sahand
34.41833,47.24333,3360,Kuh-e Parau
33.53333,57.2275,2920,Eshdeger Range HP
36.37583,50.9625,4805,Alam Kuh
2.78083,125.40666,1827,Karangetang
22.6425,98.07416,2673,Loi Leng
39.15916,46.00583,3905,Kaputzhukh Lerr
35.14083,77.5775,7516,Mamostong Kangri
36.43666,72.86083,6320,Shah Dok
42.33833,46.25166,4152,Gora Addala Shukgelmezr
31.6825,69.9375,3441,Obasta Tsukai
28.82833,65.195,3003,Ras Koh
33.41333,35.85666,2814,Mt. Hermon
8.59833,125.09833,2480,Mt. Mangabon
2.91833,98.42333,2457,Gunung Sibuatan
-8.22083,125.02083,1821,Dola Koyakoya
25.97694,56.23166,2087,Jebel al Harim
37.755,44.32,3800,Mor Dagi
4.25166,97.42083,3079,Bukit Mugajah
33.22,60.2475,2887,Kuh-e Mirza 'Arab
-2.71083,115.62583,1892,Gunung Besar
30.685,79.70583,6727,Hathi Parbat
36.64833,72.82833,6050,Shayaz Zom
27.31833,100.1,5396,Haba Xueshan
42.54333,85.34416,4810,Pt. 4810�
27.57666,100.31083,4520,Pt. 4520�
33.33916,49.30333,4139,Oshtoran Kuh
33.95916,48.48166,3630,Kuh-e Garin
36.55166,45.005,3587,Kuhe Haji Ebrahim
-2.5025,101.85833,2933,Gunung Masurai
1.06166,120.935,2260,Bukii Dako
33.08166,131.24,1791,Kuju-san
23.975,110.0975,1979,Shengtang Shan
39.07916,113.56666,3061,Beitai Ding
30.13416,118.16416,1864,Lian Hua Feng
37.73416,71.42166,5120,Pt. 5120�
35.93,71.08,6290,Kuh-e Shashgal
42.67583,44.7575,4451,Gora Shan
-7.3025,109.99583,3150,Gunung Sendoro
36.52833,29.185,1969,Babadag
-8.58,117.12166,1840,Olet Sangenges
27.88166,108.68166,2570,Fenghuang Shan
36.97333,59.35666,3120,Kuhha-ye Hezar Masjed
36.205,75.41833,7760,Kanjut Sar I
35.82861,76.36138,7276,Muztagh Tower
27.93666,92.66666,6983,Nyegyi Kansang
35.78083,72.28277,6050,Thalo Zom
29.3225,94.74916,5980,Pt. 5980
27.55,102.355,4300,Baibaidin Shan
28.8175,56.41333,3856,Kuh-e Khabr
-3.50666,136.4225,3640,Undundi-Wandandi
26.735,100.46166,3480,Pt. 3480
22.62583,102.7875,3076,Phu Si Lung
39.85333,141.00083,2038,Iwate-san
0.66416,127.40166,1750,Pulau Tidore
39.67333,54.54333,1880,Uly Balkan Gershi
12.0325,104.17083,1810,Phnum Aoral
40.03916,74.83,5324,Koktutau
25.51416,111.32916,2010,Jiucai Ling
36.205,75.2075,7852,Kunyang Chhish I
30.20833,102.33166,5412,Dapin Shan
